Epoch,Episodio,Paso,StateIdx,Accion,NextStateIdx,Reward,Done,Epsilon
1,26,2,1050662447078993847,1,73996723831797931536,0.0,False,0.994604
1,26,3,73996723831797931536,5,86254452381052859751,0.0,False,0.994585
1,26,4,86254452381052859751,3,87638658462125184978,0.0,False,0.994566
1,26,5,87638658462125184978,0,87638696590112609913,0.0,False,0.994547
1,26,6,87638696590112609913,3,87639314326271013078,0.0,False,0.994528
1,26,7,87639314326271013078,1,87639314333258930787,0.0,True,0.994509
1,27,1,0,3,2251419529454986815,0.0,False,0.99449
1,27,2,2251419529454986815,2,75197618174928654270,0.0,False,0.994471
1,27,3,75197618174928654270,6,75214310607823290813,0.0,False,0.994452
1,27,4,75214310607823290813,1,75364542503875019700,0.0,False,0.994433
1,27,5,75364542503875019700,0,99729904967087877009,0.0,False,0.994414
1,27,6,99729904967087877009,1,99731140345261504512,0.0,False,0.994395
1,27,7,99731140345261504512,2,99731140439490776781,0.0,False,0.994376
1,27,8,99731140439490776781,6,99731186196562471104,0.0,False,0.994357
1,27,9,99731186196562471104,6,99731186196564104793,0.0,False,0.994338
1,27,10,99731186196564104793,2,99731186196564106260,0.0,False,0.994319
1,27,11,99731186196564106260,5,107841855563168614317,0.0,False,0.9943
1,27,12,107841855563168614317,5,107841858669893515608,0.0,False,0.994281
1,27,13,107841858669893515608,0,107841858680363434749,0.0,False,0.994262
1,27,14,107841858680363434749,3,107841858680521272726,0.0,False,0.994243
1,27,15,107841858680521272726,5,107841858681683652291,0.0,False,0.994224
1,27,16,107841858681683652291,0,107841858681683654480,0.0,False,0.994205
1,27,17,107841858681683654480,5,107841858681684185921,1.0,True,0.994186
1,28,1,0,2,24765614824004854965,0.0,False,0.994167
1,28,2,24765614824004854965,6,61239022983439830666,0.0,False,0.994148
1,28,3,61239022983439830666,3,70694985007150775289,0.0,False,0.994129
1,28,4,70694985007150775289,4,70796901117537626544,0.0,False,0.99411
1,28,5,70796901117537626544,3,70797520485511129377,0.0,False,0.994091
1,28,6,70797520485511129377,1,70947615309094486152,0.0,False,0.994072
1,28,7,70947615309094486152,0,70958756307020052159,0.0,False,0.994053
1,28,8,70958756307020052159,3,70958756610370295046,0.0,False,0.994034
1,28,9,70958756610370295046,4,70992110974157048673,0.0,False,0.994015
1,28,10,70992110974157048673,4,70992116057888882478,0.0,False,0.993996
1,28,11,70992116057888882478,5,70992116059052206827,0.0,False,0.993977
1,28,12,70992116059052206827,5,70992131310247177044,0.0,False,0.993958
1,28,13,70992131310247177044,1,70992199940710635369,0.0,False,0.993939
1,28,14,70992199940710635369,3,70992199940839775532,1.0,True,0.99392
1,29,1,0,0,24365362463212857309,0.0,False,0.993901
1,29,2,24365362463212857309,2,32920756675141807206,0.0,False,0.993882
1,29,3,32920756675141807206,2,32932080687407012901,0.0,False,0.993863
1,29,4,32932080687407012901,6,69405122818162709226,0.0,False,0.993844
1,29,5,69405122818162709226,5,69405125548314895209,0.0,False,0.993825
1,29,6,69405125548314895209,4,69406978568589840492,0.0,False,0.993806
1,29,7,69406978568589840492,5,72108682005098086137,0.0,False,0.993787
1,29,8,72108682005098086137,2,72109917351890673714,0.0,False,0.993768
1,29,9,72109917351890673714,5,72109917351891205173,0.0,False,0.993749
1,29,10,72109917351891205173,5,72109917351891205416,1.0,True,0.99373
1,30,1,0,1,150231896051728887,0.0,False,0.993711
1,30,2,150231896051728887,3,25816414531838578578,0.0,False,0.993692
1,30,3,25816414531838578578,3,25828150326367973571,0.0,False,0.993673
1,30,4,25828150326367973571,5,25828152930995921118,0.0,False,0.993654
1,30,5,25828152930995921118,4,29884414124392601067,0.0,False,0.993635
1,30,6,29884414124392601067,2,30334698030283598430,1.0,True,0.993616
1,31,1,0,3,9455962023710944623,0.0,False,0.993597
1,31,2,9455962023710944623,6,46029021491079730440,0.0,False,0.993578
1,31,3,46029021491079730440,2,46479717179234917101,0.0,False,0.993559
1,31,4,46479717179234917101,1,46631047161324484116,0.0,False,0.99354
1,31,5,46631047161324484116,6,46651430383401854367,0.0,False,0.993521
1,31,6,46651430383401854367,4,70966762148804321412,0.0,False,0.993502
1,31,7,70966762148804321412,2,70966762807806573201,0.0,False,0.993483
1,31,8,70966762807806573201,3,70966762807935831462,0.0,False,0.993464
1,31,9,70966762807935831462,5,70972321868502386985,1.0,True,0.993445
1,32,1,0,1,8255204941334951655,0.0,False,0.993426
1,32,2,8255204941334951655,3,82552049413349516550,0.0,False,0.993407
1,32,3,82552049413349516550,6,106884057513163040721,0.0,False,0.993388
1,32,4,106884057513163040721,1,106895244264673516650,0.0,False,0.993369
1,32,5,106895244264673516650,0,107845843621554511083,0.0,False,0.99335
1,32,6,107845843621554511083,4,107847701725475019582,0.0,False,0.993331
1,32,7,107847701725475019582,5,107847703421214499935,0.0,False,0.993312
1,32,8,107847703421214499935,2,107847955065931504506,0.0,False,0.993293
1,32,9,107847955065931504506,6,107847962698502558295,0.0,False,0.993274
1,32,10,107847962698502558295,1,107847962729884680786,0.0,False,0.993255
1,32,11,107847962729884680786,2,107847962824056557427,0.0,False,0.993236
1,32,12,107847962824056557427,6,107847962824058164872,0.0,False,0.993217
1,32,13,107847962824058164872,1,107847962844978871281,0.0,False,0.993198
1,32,14,107847962844978871281,0,107847962844983654250,1.0,True,0.993179
1,33,1,0,1,2851798070642983299,0.0,False,0.99316
1,33,2,2851798070642983299,4,79850345978003532372,0.0,False,0.993141
1,33,3,79850345978003532372,6,79967086249901198355,0.0,False,0.993122
1,33,4,79967086249901198355,3,79967704488156555264,0.0,False,0.993103
1,33,5,79967704488156555264,5,92129075987591187747,0.0,False,0.993084
1,33,6,92129075987591187747,1,92140262739101663676,0.0,False,0.993065
1,33,7,92140262739101663676,5,92140265281225772331,0.0,False,0.993046
1,33,8,92140265281225772331,3,92140265281225831434,0.0,False,0.993027
1,33,9,92140265281225831434,1,92140265312635588857,0.0,False,0.993008
1,33,10,92140265312635588857,6,92140272945206642646,0.0,False,0.992989
1,33,11,92140272945206642646,0,92140295842919804013,0.0,False,0.99297
1,33,12,92140295842919804013,4,92140296690208426578,0.0,False,0.992951
1,33,13,92140296690208426578,1,92140296690211615227,0.0,False,0.992932
1,33,14,92140296690211615227,5,92140296691383442632,0.0,False,0.992913
1,33,15,92140296691383442632,6,93040864503165438087,0.0,False,0.992894
1,33,16,93040864503165438087,0,93040864503166503156,0.0,False,0.992875
1,33,17,93040864503166503156,2,93041070394298597805,1.0,True,0.992856
1,34,1,0,6,39174699812516770581,0.0,False,0.992837
1,34,2,39174699812516770581,5,59437475577611651916,0.0,False,0.992818
1,34,3,59437475577611651916,4,59439330292377722643,0.0,False,0.992799
1,34,4,59439330292377722643,2,59922968561668053144,0.0,False,0.99278
1,34,5,59922968561668053144,3,59923586235839178069,0.0,False,0.992761
1,34,6,59923586235839178069,6,59934711982569774102,0.0,False,0.992742
1,34,7,59934711982569774102,4,59934712547429024211,0.0,False,0.992723
1,34,8,59934712547429024211,6,59934712550915808774,0.0,False,0.992704
1,34,9,59934712550915808774,3,60234901821638947179,0.0,False,0.992685
1,34,10,60234901821638947179,6,60234901821640659600,0.0,False,0.992666
